id,y_true,y_pred,absolute_error
1731185271.218309,95.0,146.27173897170897,51.27173897170897
1731185281.303434,70.0,59.373708463489805,10.626291536510195
1731185291.329657,221.0,202.4957582368978,18.504241763102186
1731185301.503591,308.0,263.7858956299527,44.21410437004732
1731185311.533505,242.0,171.26952877957942,70.73047122042058
1731185321.551216,72.0,79.33316712217174,7.333167122171744
1731185331.70552,137.0,197.4742725361748,60.474272536174794
1731185341.725865,242.0,171.26952877957942,70.73047122042058
1731185351.75018,155.0,157.9351671894437,2.935167189443689
1731185361.926352,172.0,148.49368341882766,23.506316581172342
1731185371.958562,179.0,165.3850697733167,13.614930226683299
1731185381.988495,50.0,140.45908566353486,90.45908566353486
1731185392.16651,272.0,239.46228792160946,32.53771207839054
1731185402.197121,154.0,159.34185386962795,5.341853869627954
1731185412.224367,88.0,144.85620155198018,56.85620155198018
1731185422.401065,140.0,128.82556725044935,11.174432749550647
1731185432.424663,111.0,106.90170583652417,4.098294163475828
1731185442.452825,172.0,148.49368341882766,23.506316581172342
1731185452.605749,118.0,103.07811228303234,14.92188771696766
1731185462.634464,115.0,138.35423107449964,23.354231074499637
1731185472.661953,249.0,210.08705555805898,38.91294444194102
1731185482.828359,281.0,283.6355672939131,2.635567293913084
1731185492.855029,178.0,121.99979950821111,56.00020049178889
1731185502.883719,222.0,198.06602002302932,23.933979976970676
1731185513.04247,42.0,127.75224803903907,85.75224803903907
1731185523.068658,109.0,162.6473989763018,53.64739897630179
1731185533.095572,143.0,66.57393755401368,76.42606244598632
1731185543.242896,102.0,111.44927557408718,9.449275574087181
1731185553.268242,217.0,180.13119806631482,36.86880193368518
1731185563.293767,97.0,124.3412578117174,27.341257811717398
1731185573.427729,259.0,221.07802261365345,37.921977386346555
1731185583.451755,191.0,193.3160440937124,2.3160440937124065
1731185593.476554,59.0,121.85910435040009,62.85910435040009
1731185603.644802,139.0,125.30004147454359,13.69995852545641
1731185613.668753,196.0,160.67075589317804,35.32924410682196
1731185623.692696,116.0,140.57188922298192,24.571889222981923
1731185633.850854,113.0,121.58137266933188,8.581372669331884
1731185643.873453,68.0,113.11352854390738,45.11352854390738
1731185653.900151,182.0,147.74770463570545,34.252295364294554
1731185664.039006,164.0,187.166789277737,23.166789277736996
1731185674.056885,306.0,249.1507407188866,56.849259281113405
1731185684.086123,143.0,66.57393755401368,76.42606244598632
1731185694.247862,94.0,97.80444810874128,3.8044481087412834
1731185704.305777,272.0,192.32195136984916,79.67804863015084
1731185714.331926,139.0,177.5025536482221,38.50255364822209
1731185724.481026,272.0,239.46228792160946,32.53771207839054
1731185734.507182,110.0,158.80803758307357,48.80803758307357
1731185744.533777,209.0,157.93215937839972,51.06784062160028
1731185754.680785,92.0,123.47449269104541,31.474492691045413
1731185764.707703,276.0,157.87622023133642,118.12377976866358
1731185774.731352,242.0,171.26952877957942,70.73047122042058
1731185784.885226,70.0,59.373708463489805,10.626291536510195
1731185794.913414,98.0,79.93929115905644,18.060708840943562
1731185804.940456,183.0,115.87639955548843,67.12360044451157
1731185815.096548,83.0,123.83433596242709,40.83433596242709
1731185825.127424,171.0,177.17568486302878,6.175684863028778
1731185835.152089,160.0,117.99621449150408,42.00378550849592
1731185845.309076,178.0,163.36792373220544,14.63207626779456
1731185855.349134,81.0,99.59049696614417,18.590496966144173
1731185865.382345,215.0,245.15893112913434,30.158931129134345
1731185875.585041,233.0,202.40028088712938,30.599719112870616
1731185885.613718,44.0,126.37027691629643,82.37027691629643
1731185895.64098,73.0,152.38094687603638,79.38094687603638
1731185905.825873,74.0,88.10180945898985,14.101809458989848
1731185915.851361,91.0,174.51578955312337,83.51578955312337
1731185925.881762,25.0,146.27950555690472,121.27950555690472
1731185936.039156,67.0,187.23613210599729,120.23613210599729
1731185946.060624,120.0,162.60032245893694,42.600322458936944
1731185956.087579,144.0,122.9573406793088,21.0426593206912
1731185966.2504,90.0,143.05621637777142,53.05621637777142
1731185976.271723,123.0,197.50400064427618,74.50400064427618
1731185986.298664,235.0,170.4432857674567,64.5567142325433
1731185996.456879,102.0,106.92918500252975,4.929185002529749
1731186006.487295,182.0,139.11094848513832,42.88905151486168
1731186016.527329,252.0,166.8224015018536,85.17759849814641
1731186026.680187,265.0,201.48184993149977,63.51815006850023
1731186036.7094,37.0,80.11184913638412,43.11184913638412
1731186046.739951,85.0,179.0931004382055,94.09310043820551
1731186056.912748,103.0,129.83194068571228,26.831940685712283
1731186066.938398,132.0,121.22650413525089,10.773495864749108
1731186076.964671,262.0,160.41741938199718,101.58258061800282
1731186087.140597,47.0,100.85985576049748,53.85985576049748
1731186097.216471,92.0,77.8291328074616,14.170867192538395
